temperature	v_out
-4.500000000000000e+01	2.463448e+00
-2.500000000000000e+01	2.487103e+00
-5.000000000000000e+00	2.502436e+00
1.500000000000000e+01	2.508962e+00
3.500000000000000e+01	2.498740e+00
5.500000000000000e+01	2.468852e+00
7.500000000000000e+01	2.494776e+00
9.500000000000000e+01	2.547602e+00
1.150000000000000e+02	2.467022e+00
1.250000000000000e+02	2.505015e+00
-4.500000000000000e+01	2.450998e+00
-2.500000000000000e+01	2.500662e+00
-5.000000000000000e+00	2.515096e+00
1.500000000000000e+01	2.432406e+00
3.500000000000000e+01	2.507221e+00
5.500000000000000e+01	2.445589e+00
7.500000000000000e+01	2.485119e+00
9.500000000000000e+01	2.457863e+00
1.150000000000000e+02	2.549239e+00
1.250000000000000e+02	2.499943e+00
-4.500000000000000e+01	2.483591e+00
-2.500000000000000e+01	2.477297e+00
-5.000000000000000e+00	2.500880e+00
1.500000000000000e+01	2.478653e+00
3.500000000000000e+01	2.542141e+00
5.500000000000000e+01	2.493844e+00
7.500000000000000e+01	2.497690e+00
9.500000000000000e+01	2.550290e+00
1.150000000000000e+02	2.455131e+00
1.250000000000000e+02	2.540469e+00
-4.500000000000000e+01	2.469850e+00
-2.500000000000000e+01	2.527516e+00
-5.000000000000000e+00	2.523588e+00
1.500000000000000e+01	2.457655e+00
3.500000000000000e+01	2.542371e+00
5.500000000000000e+01	2.526594e+00
7.500000000000000e+01	2.488266e+00
9.500000000000000e+01	2.507587e+00
1.150000000000000e+02	2.534737e+00
1.250000000000000e+02	2.519679e+00
-4.500000000000000e+01	2.541471e+00
-2.500000000000000e+01	2.552009e+00
-5.000000000000000e+00	2.493690e+00
1.500000000000000e+01	2.500407e+00
3.500000000000000e+01	2.510285e+00
5.500000000000000e+01	2.467693e+00
7.500000000000000e+01	2.476516e+00
9.500000000000000e+01	2.530182e+00
1.150000000000000e+02	2.519739e+00
1.250000000000000e+02	2.517827e+00
-4.500000000000000e+01	2.529503e+00
-2.500000000000000e+01	2.526495e+00
-5.000000000000000e+00	2.482870e+00
1.500000000000000e+01	2.502803e+00
3.500000000000000e+01	2.483531e+00
5.500000000000000e+01	2.489952e+00
7.500000000000000e+01	2.523332e+00
9.500000000000000e+01	2.481319e+00
1.150000000000000e+02	2.537051e+00
1.250000000000000e+02	2.492569e+00
-4.500000000000000e+01	2.482652e+00
-2.500000000000000e+01	2.488935e+00
-5.000000000000000e+00	2.443435e+00
1.500000000000000e+01	2.525109e+00
3.500000000000000e+01	2.550442e+00
5.500000000000000e+01	2.454315e+00
7.500000000000000e+01	2.479701e+00
9.500000000000000e+01	2.489578e+00
1.150000000000000e+02	2.536560e+00
1.250000000000000e+02	2.524335e+00
-4.500000000000000e+01	2.483014e+00
-2.500000000000000e+01	2.467851e+00
-5.000000000000000e+00	2.415368e+00
1.500000000000000e+01	2.524499e+00
3.500000000000000e+01	2.452555e+00
5.500000000000000e+01	2.495153e+00
7.500000000000000e+01	2.511489e+00
9.500000000000000e+01	2.502717e+00
1.150000000000000e+02	2.529215e+00
1.250000000000000e+02	2.458160e+00
-4.500000000000000e+01	2.514903e+00
-2.500000000000000e+01	2.429252e+00
-5.000000000000000e+00	2.472621e+00
1.500000000000000e+01	2.481748e+00
3.500000000000000e+01	2.512098e+00
5.500000000000000e+01	2.481104e+00
7.500000000000000e+01	2.541863e+00
9.500000000000000e+01	2.486439e+00
1.150000000000000e+02	2.532960e+00
1.250000000000000e+02	2.481814e+00
-4.500000000000000e+01	2.486678e+00
-2.500000000000000e+01	2.504897e+00
-5.000000000000000e+00	2.551558e+00
1.500000000000000e+01	2.482049e+00
3.500000000000000e+01	2.502095e+00
5.500000000000000e+01	2.515549e+00
7.500000000000000e+01	2.467003e+00
9.500000000000000e+01	2.542368e+00
1.150000000000000e+02	2.502712e+00
1.250000000000000e+02	2.519464e+00
-4.500000000000000e+01	2.536082e+00
-2.500000000000000e+01	2.502117e+00
-5.000000000000000e+00	2.479683e+00
1.500000000000000e+01	2.495084e+00
3.500000000000000e+01	2.473196e+00
5.500000000000000e+01	2.488894e+00
7.500000000000000e+01	2.517676e+00
9.500000000000000e+01	2.494852e+00
1.150000000000000e+02	2.494298e+00
1.250000000000000e+02	2.507532e+00
-4.500000000000000e+01	2.472954e+00
-2.500000000000000e+01	2.558694e+00
-5.000000000000000e+00	2.519443e+00
1.500000000000000e+01	2.535253e+00
3.500000000000000e+01	2.469522e+00
5.500000000000000e+01	2.478431e+00
7.500000000000000e+01	2.491203e+00
9.500000000000000e+01	2.539178e+00
1.150000000000000e+02	2.494084e+00
1.250000000000000e+02	2.471080e+00
-4.500000000000000e+01	2.479251e+00
-2.500000000000000e+01	2.454502e+00
-5.000000000000000e+00	2.445300e+00
1.500000000000000e+01	2.562675e+00
3.500000000000000e+01	2.531024e+00
5.500000000000000e+01	2.523249e+00
7.500000000000000e+01	2.482982e+00
9.500000000000000e+01	2.518044e+00
1.150000000000000e+02	2.486908e+00
1.250000000000000e+02	2.521156e+00
-4.500000000000000e+01	2.519897e+00
-2.500000000000000e+01	2.506905e+00
-5.000000000000000e+00	2.533995e+00
1.500000000000000e+01	2.470484e+00
3.500000000000000e+01	2.501197e+00
5.500000000000000e+01	2.543119e+00
7.500000000000000e+01	2.469735e+00
9.500000000000000e+01	2.456282e+00
1.150000000000000e+02	2.482169e+00
1.250000000000000e+02	2.453997e+00
-4.500000000000000e+01	2.537405e+00
-2.500000000000000e+01	2.504527e+00
-5.000000000000000e+00	2.475413e+00
1.500000000000000e+01	2.456496e+00
3.500000000000000e+01	2.552424e+00
5.500000000000000e+01	2.503960e+00
7.500000000000000e+01	2.458346e+00
9.500000000000000e+01	2.521316e+00
1.150000000000000e+02	2.504871e+00
1.250000000000000e+02	2.532141e+00
-4.500000000000000e+01	2.487746e+00
-2.500000000000000e+01	2.502686e+00
-5.000000000000000e+00	2.488972e+00
1.500000000000000e+01	2.463022e+00
3.500000000000000e+01	2.523688e+00
5.500000000000000e+01	2.505269e+00
7.500000000000000e+01	2.492130e+00
9.500000000000000e+01	2.498146e+00
1.150000000000000e+02	2.516253e+00
1.250000000000000e+02	2.558582e+00
-4.500000000000000e+01	2.517637e+00
-2.500000000000000e+01	2.524188e+00
-5.000000000000000e+00	2.507228e+00
1.500000000000000e+01	2.524010e+00
3.500000000000000e+01	2.535490e+00
5.500000000000000e+01	2.481986e+00
7.500000000000000e+01	2.470491e+00
9.500000000000000e+01	2.535030e+00
1.150000000000000e+02	2.515810e+00
1.250000000000000e+02	2.512380e+00
-4.500000000000000e+01	2.557567e+00
-2.500000000000000e+01	2.494238e+00
-5.000000000000000e+00	2.514469e+00
1.500000000000000e+01	2.470270e+00
3.500000000000000e+01	2.510426e+00
5.500000000000000e+01	2.544915e+00
7.500000000000000e+01	2.475669e+00
9.500000000000000e+01	2.496905e+00
1.150000000000000e+02	2.455722e+00
1.250000000000000e+02	2.534789e+00
