run	V(vref)
2.050000000000000e+02	4.870038e+00
2.060000000000000e+02	4.758260e+00
2.070000000000000e+02	4.944308e+00
2.080000000000000e+02	5.139845e+00
2.090000000000000e+02	4.988319e+00
2.100000000000000e+02	5.020069e+00
2.110000000000000e+02	4.759225e+00
2.120000000000000e+02	5.200091e+00
2.130000000000000e+02	4.847248e+00
2.140000000000000e+02	5.192999e+00
2.150000000000000e+02	4.970612e+00
2.160000000000000e+02	4.823915e+00
2.170000000000000e+02	4.869751e+00
2.180000000000000e+02	5.149827e+00
2.190000000000000e+02	4.986507e+00
2.200000000000000e+02	4.794911e+00
2.210000000000000e+02	5.072275e+00
2.220000000000000e+02	5.066532e+00
2.230000000000000e+02	5.042191e+00
2.240000000000000e+02	5.113327e+00
2.250000000000000e+02	4.927319e+00
2.260000000000000e+02	5.090203e+00
2.270000000000000e+02	5.103661e+00
2.280000000000000e+02	4.831164e+00
2.290000000000000e+02	4.816868e+00
2.300000000000000e+02	4.974778e+00
2.310000000000000e+02	4.771027e+00
2.320000000000000e+02	5.148682e+00
2.330000000000000e+02	4.833778e+00
2.340000000000000e+02	5.165607e+00
2.350000000000000e+02	4.912482e+00
2.360000000000000e+02	5.077890e+00
2.370000000000000e+02	4.960095e+00
2.380000000000000e+02	5.140954e+00
2.390000000000000e+02	4.806596e+00
2.400000000000000e+02	5.246768e+00
2.410000000000000e+02	4.840786e+00
2.420000000000000e+02	5.131466e+00
2.430000000000000e+02	4.882960e+00
2.440000000000000e+02	4.872069e+00
2.450000000000000e+02	4.800369e+00
2.460000000000000e+02	4.922164e+00
2.470000000000000e+02	4.890814e+00
2.480000000000000e+02	5.234320e+00
2.490000000000000e+02	4.856886e+00
2.500000000000000e+02	5.052964e+00
